30,32,33,38,39,"Brouillard, localement dense ou givrant {loc}"
A1,,,,,Pluie possible {loc}
A2,,,,,Neige possible {loc}
A3,,,,,Averses possibles {loc}
A4,,,,,Averses de neige possibles {loc}
A5,,,,,Temps orageux possible {loc}
A1,A2,,,,"Pluie, neige possibles {loc}"
A1,A3,,,,Pluie ou averses possibles {loc}
A1,A4,,,,"Pluie, averses de neige possibles {loc}"
A1,A5,,,,Pluie ou orages possibles {loc}
A1,B1,,,,Pluie parfois verglaçante possibles {loc}
A1,B2,,,,Pluie ou averses de grésil possibles {loc}
A1,B3,,,,Pluie ou averses de grêle possibles {loc}
A1,B4,,,,Pluie ou orages avec grêle possibles {loc}
A1,B5,,,,Pluie ou orages violents possibles {loc}
A2,A3,,,,"Averses, neige possibles {loc}"
A2,A4,,,,Épisodes neigeux possibles {loc}
A2,A5,,,,"Orages, neige possibles {loc}"
A2,B1,,,,"Précipitations verglaçantes, neige possibles {loc}"
A2,B2,,,,"Averses de grésil, neige possibles {loc}"
A2,B3,,,,"Averses de grêle, neige possibles {loc}"
A2,B4,,,,"Giboulées orageuses, neige possibles {loc}"
A2,B5,,,,"Orages violents, neige possibles {loc}"
A3,A4,,,,Averses parfois neigeuses possibles {loc}
A3,A5,,,,Orages ou averses possibles {loc}
A3,B1,,,,Précipitations verglaçantes ou averses possibles {loc}
A3,B2,,,,Averses avec parfois du grésil possibles {loc}
A3,B3,,,,Averses avec parfois de la grêle possibles {loc}
A3,B4,,,,Orages avec grêle ou averses possibles {loc}
A3,B5,,,,Averses ou orages violents possibles {loc}
A4,A5,,,,"Orages, neige possibles {loc}"
A4,B1,,,,"Précipitations verglaçantes, neige possibles {loc}"
A4,B2,,,,Giboulées neigeuses possibles {loc}
A4,B3,,,,Fortes giboulées neigeuses possibles {loc}
A4,B4,,,,"Orages, giboulées neigeuses possibles {loc}"
A4,B5,,,,"Orages violents, averses de neige possibles {loc}"
A5,B1,,,,Précipitations verglaçantes ou orages possibles {loc}
A5,B2,,,,Orages ou averses de grésil possibles {loc}
A5,B3,,,,Orages ou averses de grêle possibles {loc}
A5,B4,,,,Temps orageux avec grêle possible {loc}
A5,B5,,,,Orages possibles parfois violents {loc}
A1,A2,A3,,,"Précipitations possibles, parfois neigeuses {loc}"
A1,A2,A4,,,"Précipitations possibles, parfois neigeuses {loc}"
A1,A2,A5,,,"Orages, précipitations possibles, parfois neigeuses {loc}"
A1,A2,B1,,,"Précipitations verglaçantes, neige possibles {loc}"
A1,A2,B2,,,"Précipitations, temporairement avec grésil, ou neige {loc}"
A1,A2,B3,,,"Précipitations, temporairement avec grêle, ou neige {loc}"
A1,A2,B4,,,"Giboulées orageuses, pluie, mêlée de neige {loc}"
A1,A2,B5,,,"Violentes giboulées orageuses, pluie, mêlée de neige possibles {loc}"
A1,A3,A4,,,"Averses, mêlées de neige possibles {loc}"
A1,A3,A5,,,Temps pluvieux avec orages possible {loc}
A1,A3,B1,,,Pluie parfois verglaçante et averses possibles {loc}
A1,A3,B2,,,Temps pluvieux avec averses de grésil possible {loc}
A1,A3,B3,,,Temps pluvieux avec averses de grêle possible {loc}
A1,A3,B4,,,Temps pluvieux avec orages de grêle possible {loc}
A1,A3,B5,,,Temps pluvieux avec orages violents possible {loc}
A1,A4,A5,,,"Orages, précipitations, parfois mêlées de neige possibles {loc}"
A1,A4,B1,,,"Précipitations verglaçantes, neige possibles {loc}"
A1,A4,B2,,,"Précipitations, temporairement avec grésil, ou neige possibles {loc}"
A1,A4,B3,,,"Précipitations, temporairement avec grêle, ou neige possibles {loc}"
A1,A4,B4,,,"Orages avec grêle, précipitations, temporairement neigeuses possibles {loc}"
A1,A4,B5,,,"Orages violents, précipitations, temporairement neigeuses possibles {loc}"
A1,A5,B1,,,Pluie parfois verglaçante et orages possibles {loc}
A1,A5,B2,,,Pluie et orages parfois avec grésil possibles {loc}
A1,A5,B3,,,Pluie et orages parfois avec grêle possibles {loc}
A1,A5,B4,,,Pluie et orages parfois avec grêle possibles {loc}
A1,A5,B5,,,Pluie et orages parfois violents possibles {loc}
A1,B1,B2,,,Pluie parfois verglaçante et averses de grésil possibles {loc}
A1,B1,B3,,,Pluie parfois verglaçante et averses de grêle possibles {loc}
A1,B1,B4,,,Pluie parfois verglaçante et orages de grêle possibles {loc}
A1,B1,B5,,,Pluie parfois verglaçante et orages violents possibles {loc}
A1,B2,B3,,,Pluie avec averses de grêle et de grésil possibles {loc}
A1,B2,B4,,,Pluie avec averses de grésil et orages de grêle possibles {loc}
A1,B2,B5,,,Pluie avec averses de grésil et orages violents possibles {loc}
A1,B3,B4,,,Pluie avec averses et orages de grêle possibles {loc}
A1,B3,B5,,,Pluie avec averses de grêle et orages violents possibles {loc}
A1,B4,B5,,,Pluie avec orages violents parfois avec grêle possibles {loc}
A2,A3,A4,,,"Averses, neige possibles {loc}"
A2,A3,A5,,,"Orages, averses, neige possibles {loc}"
A2,A3,B1,,,"Précipitations parfois verglaçantes, neige possibles {loc}"
A2,A3,B2,,,"Averses parfois de grésil, neige possibles {loc}"
A2,A3,B3,,,"Averses parfois de grêle, neige possibles {loc}"
A2,A3,B4,,,"Giboulées orageuses, neige possibles {loc}"
A2,A3,B5,,,"Violentes giboulées orageuses, neige possibles {loc}"
A2,A4,A5,,,"Orages, averses, parfois neigeuses, possibles {loc}"
A2,A4,B1,,,"Précipitations verglaçantes, neige prédominante possibles {loc}"
A2,A4,B2,,,"Averses de grésil, neige prédominante possibles {loc}"
A2,A4,B3,,,"Averses de grêle, neige prédominante possibles {loc}"
A2,A4,B4,,,"Giboulées orageuses, neige prédominante possibles {loc}"
A2,A4,B5,,,"Violentes giboulées orageuses, neige prédominante possibles {loc}"
A2,A5,B1,,,"Orages, précipitations verglaçantes, neige possibles {loc}"
A2,A5,B2,,,"Giboulées orageuses, neige possibles {loc}"
A2,A5,B3,,,"Fortes giboulées orageuses, neige possibles {loc}"
A2,A5,B4,,,"Fortes giboulées orageuses, neige possibles {loc}"
A2,A5,B5,,,"Orages violents, neige possibles {loc}"
A2,B1,B2,,,"Précipitations parfois verglaçantes ou avec grésil, neige possibles {loc}"
A2,B1,B3,,,"Précipitations parfois verglaçantes ou avec grêle, neige possibles {loc}"
A2,B1,B4,,,"Giboulées orageuses, précipitations verglaçantes, neige possibles {loc}"
A2,B1,B5,,,"Orages violents, précipitations verglaçantes, neige possibles {loc}"
A2,B2,B3,,,"Giboulées orageuses, neige possibles {loc}"
A2,B2,B4,,,"Giboulées orageuses, neige possibles {loc}"
A2,B2,B5,,,"Orages violents parfois avec grésil, neige possibles {loc}"
A2,B3,B4,,,"Fortes giboulées orageuses, neige possibles {loc}"
A2,B3,B5,,,"Orages violents parfois avec grêle, neige possibles {loc}"
A2,B4,B5,,,"Orages, averses parfois neigeuses possibles {loc}"
A3,A4,A5,,,Orages et averses parfois neigeuses possibles {loc}
A3,A4,B1,,,"Précipitations verglaçantes, neige possibles {loc}"
A3,A4,B2,,,Giboulées neigeuses possibles {loc}
A3,A4,B3,,,Fortes giboulées neigeuses possibles {loc}
A3,A4,B4,,,"Giboulées orageuses, neige possibles {loc}"
A3,A4,B5,,,"Orages violents, averses parfois neigeuses possibles {loc}"
A3,A5,B1,,,Précipitations parfois verglaçantes et orages possibles {loc}
A3,A5,B2,,,"Averses, parfois de grésil, et orages possibles {loc}"
A3,A5,B3,,,"Averses, parfois de grêle, et orages possibles {loc}"
A3,A5,B4,,,Orages parfois avec grêle et averses possibles {loc}
A3,A5,B5,,,Orages parfois violents et averses possibles {loc}
A3,B1,B2,,,Précipitations parfois verglaçantes et averses de grésil possibles {loc}
A3,B1,B3,,,Précipitations parfois verglaçantes et averses de grêle possibles {loc}
A3,B1,B4,,,Précipitations parfois verglaçantes et orages avec grêle possibles {loc}
A3,B1,B5,,,Précipitations parfois verglaçantes et orages violents possibles {loc}
A3,B2,B3,,,"Averses possibles, parfois de grésil ou de grêle {loc}"
A3,B2,B4,,,"Averses, parfois de grésil et orages avec grêle possibles {loc}"
A3,B2,B5,,,"Averses, parfois de grésil et orages violents possibles {loc}"
A3,B3,B4,,,Averses et orages avec grêle possibles {loc}
A3,B3,B5,,,Averses parfois de grêle et orages violents possibles {loc}
A3,B4,B5,,,"Averses et orages violents, parfois avec grêle possibles {loc}"
A4,A5,B1,,,"Orages, précipitations verglaçantes, averses de neige possibles {loc}"
A4,A5,B2,,,"Orages parfois avec grésil, averses de neige possibles {loc}"
A4,A5,B3,,,"Orages parfois avec grêle, averses de neige possibles {loc}"
A4,A5,B4,,,"Orages parfois avec grêle, averses de neige possibles {loc}"
A4,A5,B5,,,"Orages parfois violents, averses de neige possibles {loc}"
A4,B1,B2,,,"Précipitations parfois verglaçantes ou avec grésil, neige possibles {loc}"
A4,B1,B3,,,"Précipitations parfois verglaçantes ou avec grêle, neige possibles {loc}"
A4,B1,B4,,,"Orages avec grêle, précipitations verglaçantes, neige possibles {loc}"
A4,B1,B5,,,"Orages violents, précipitations verglaçantes, neige possibles {loc}"
A4,B2,B3,,,Giboulées neigeuses possibles {loc}
A4,B2,B4,,,"Giboulées orageuses, neige possibles {loc}"
A4,B2,B5,,,"Violentes giboulées orageuses, neige possibles {loc}"
A4,B3,B4,,,"Giboulées orageuses, neige possibles {loc}"
A4,B3,B5,,,"Violentes giboulées orageuses, neige possibles {loc}"
A4,B4,B5,,,"Violentes giboulées orageuses, neige possibles {loc}"
A5,B1,B2,,,Précipitations verglaçantes et orages parfois avec grésil possibles {loc}
A5,B1,B3,,,Précipitations verglaçantes et orages parfois avec grêle possibles {loc}
A5,B1,B4,,,Précipitations verglaçantes et orages parfois avec grêle possibles {loc}
A5,B1,B5,,,Précipitations verglaçantes et orages parfois violents possibles {loc}
A5,B2,B3,,,Giboulées orageuses possibles {loc}
A5,B2,B4,,,"Giboulées orageuses possibles, parfois avec grêle {loc}"
A5,B2,B5,,,Violentes giboulées orageuses possibles {loc}
A5,B3,B4,,,Orages ou averses avec grêle possibles {loc}
A5,B3,B5,,,"Orages, parfois violents et avec grêle possibles {loc}"
A5,B4,B5,,,"Orages, parfois violents et avec grêle possibles {loc}"
B1,B2,B3,,,Précipitations verglaçantes et giboulées possibles {loc}
B1,B2,B4,,,"Précipitations verglaçantes, averses de grésil et orages de grêle possibles {loc}"
B1,B2,B5,,,"Précipitations verglaçantes, averses de grésil et orages violents possibles {loc}"
B1,B3,B4,,,"Précipitations verglaçantes, averses ou orages de grêle possibles {loc}"
B1,B3,B5,,,"Précipitations verglaçantes, averses de grêle et orages violents possibles {loc}"
B1,B4,B5,,,Précipitations verglaçantes et orages violents avec grêle possibles {loc}
B2,B3,B4,,,Orages possibles avec grêle et grésil {loc}
B2,B3,B5,,,Orages possibles parfois violents et grêle {loc}
B2,B4,B5,,,Orages possibles parfois violents et grêle {loc}
B3,B4,B5,,,Orages possibles violents avec grêle {loc}
A1,A2,A3,A4,,"Temps perturbé, précipitations, parfois neigeuses possibles {loc}"
A1,A2,A3,A5,,"Temps perturbé, orages, précipitations parfois neigeuses possibles {loc}"
A1,A2,A4,A5,,"Temps perturbé, orages, précipitations parfois neigeuses possibles {loc}"
A1,A3,A4,A5,,"Temps perturbé, orages, précipitations, parfois sous forme d'averses neigeuses possibles {loc}"
A2,A3,A4,A5,,"Temps perturbé, orages, précipitations parfois neigeuses possibles {loc}"
B1,B2,B3,B4,,"Précipitations verglaçantes, giboulées et orages avec grêle possibles {loc}"
B1,B2,B3,B5,,"Précipitations verglaçantes, giboulées et orages violents possibles {loc}"
B1,B2,B4,B5,,"Précipitations verglaçantes, giboulées et orages violents possibles {loc}"
B2,B3,B4,B5,,Orages possibles violents avec grêle et grésil {loc}
A1,A2,A3,A4,A5,"Temps perturbé avec orages et précipitations, parfois neigeuses possibles {loc}"
B1,B2,B3,B4,B5,"Précipitations verglaçantes, orages violents avec grêle et grésil possibles"
