CG_ID,methylation_gene_symbol,methylation_pval,methylation_logFC
cg900_125,Cox8c,0.032218321,2.619070684
cg900_126,Uqcrfs1,0.024170817,2.872457001
cg900_127,Eif2ak3,0.015386086,2.732835136
cg900_128,Akt1,0.030818034,1.870230197
cg900_129,Uqcr11,2.56E-05,-1.978183898
cg900_130,Il1a,0.007045109,1.552497249
cg900_131,Ndufs1,0.04984605,1.693046349
cg900_132,Bax,0.024953255,0.708593889
cg900_133,Eif2s1,0.01439955,-0.232897747
cg900_134,Bcl2l11,0.006780724,0.629583828
cg900_135,Ndufb4b,0.04003985,2.648865541
cg900_136,Cox5a,0.035938263,2.818395984
cg900_137,Nr1h3,0.03056414,-0.230053198
cg900_138,Ppara,0.024340324,-1.28430098
cg900_139,Cox7a2l,0.042964118,-0.781716062
cg900_140,Pik3ca,0.009051359,3.913782989
cg900_141,Srebf1,0.009026755,2.720909115
cg900_142,Insr,0.042211134,-1.278724524
cg900_143,Ndufs8,0.007148221,0.802184321
cg900_144,Srebf1,0.042235839,-1.401677119
cg900_145,Uqcrq,0.030552214,0.408389785
cg900_146,Sdhd,0.036076219,2.963382613
cg900_147,Mapk14,0.042675432,0.063178628
cg900_148,Ndufb4b,0.029389919,0.526414509
cg900_149,Casp7,0.047604398,2.768322239
cg900_150,Eif2s1,0.030439541,-1.427285334
cg900_151,Ppara,0.018543753,3.021886771
cg900_152,Ndufb4b,0.04003985,2.648865541
cg900_153,Cox5a,0.035938263,2.818395984
cg900_154,Nr1h3,0.03056414,-0.230053198
cg900_155,Ppara,0.024340324,-1.28430098
cg900_156,Adipor2,0.035055265,2.310529818
cg900_157,Ppara,0.004316695,1.179344778
cg900_158,Insr,0.024648031,3.827282477
cg900_159,Cox8c,0.032218321,2.619070684
cg900_160,Uqcrfs1,0.024170817,2.872457001
cg900_161,Eif2ak3,0.015386086,2.732835136
cg900_162,Akt1,0.030818034,1.870230197
cg900_163,Uqcr11,2.56E-05,-1.978183898
cg900_164,Il1a,0.007045109,1.552497249
cg900_165,Ndufs1,0.04984605,1.693046349
cg900_166,Bax,0.024953255,0.708593889
cg900_167,Eif2s1,0.01439955,-0.232897747
cg900_168,Bcl2l11,0.006780724,0.629583828
cg900_169,Ndufs1,0.043007867,-1.54012238
cg900_170,Ndufv2,0.001899329,2.919563416
cg900_171,Fasl,0.028602655,-0.307592184
cg900_172,Rac1,0.042158629,-0.856610885
cg900_173,Sdhd,0.008868499,3.43508751
cg100_174,Bax,0.025403749,-0.21310347
cg100_175,Adipor2,0.035055265,2.310529818
cg100_176,Ppara,0.004316695,1.179344778
cg100_177,Insr,0.024648031,3.827282477
cg100_178,Cox8c,0.032218321,2.619070684
cg100_179,Uqcrfs1,0.024170817,2.872457001
cg100_180,Eif2ak3,0.015386086,2.732835136
cg100_181,Akt1,0.030818034,1.870230197
cg100_182,Uqcr11,2.56E-05,-1.978183898
cg100_183,Il1a,0.007045109,1.552497249
cg100_184,Ndufs1,0.04984605,1.693046349
cg200_185,Bax,0.024953255,0.708593889
cg200_186,Eif2s1,0.01439955,-0.232897747
cg200_187,Cox8c,0.032218321,2.619070684
cg200_188,Uqcrfs1,0.024170817,2.872457001
cg200_189,Eif2ak3,0.015386086,2.732835136
cg200_190,Akt1,0.030818034,1.870230197
cg200_191,Uqcr11,2.56E-05,-1.978183898
cg200_192,Il1a,0.007045109,1.552497249
cg200_193,Ndufs1,0.04984605,1.693046349
cg200_194,Bax,0.024953255,0.708593889
cg200_195,Eif2s1,0.01439955,-0.232897747
cg200_196,Bcl2l11,0.006780724,0.629583828
cg200_197,Ndufs1,0.043007867,-1.54012238
cg200_198,Il6,0.042995279,0.319294825
cg900_199,Prkaa1,0.027489732,1.582213597
cg900_200,Itch,0.012704877,2.540207233
cg900_201,Ndufc1,0.006615777,1.34108412
cg900_202,Adipor1,0.046267629,3.186933867
cg900_203,Cox5a,0.049630917,3.109592682
cg900_204,Rela,0.032816924,-1.446712864
cg900_205,Sdha,0.037498749,0.813286416
cg900_206,Ndufs1,0.043007867,-1.54012238
cg900_207,Ndufv2,0.001899329,2.919563416
cg900_208,Fasl,0.028602655,-0.307592184
cg900_209,Rac1,0.042158629,-0.856610885
cg900_210,Sdhd,0.008868499,3.43508751
cg900_211,Bax,0.025403749,-0.21310347
cg900_212,Adipor2,0.035055265,2.310529818
